"Operadora";"Acre";"Alagoas";"Amap�";"Amazonas";"Bahia";"Cear�";"Distrito Federal";"Esp�rito Santo";"Goi�s";"Maranh�o";"Mato Grosso";"Mato Grosso do Sul";"Minas Gerais";"Par�";"Para�ba";"Paran�";"Pernambuco";"Piau�";"Rio de Janeiro";"Rio Grande do Norte";"Rio Grande do Sul";"Rond�nia";"Roraima";"Santa Catarina";"S�o Paulo";"Sergipe";"Tocantins";"Total"
"306754-ASSOCIA��O DOS FUNCION�RIOS DO FISCO DO EST";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"306762-UNIMED REGIONAL JAU - COOPERATIVA DE TRABAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"306886-UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"307319-CAIXA DE ASSIST�NCIA DOS EMPREGADOS DO BANC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"307751-FUNDA�AO COMPESA DE PREVIDENCIA E ASSISTENC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"308811-UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"309028-ASSOCIA��O DOS SERVIDORES MUNICIPAIS, ESTAD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"309087-UNIMED BARBACENA - COOPERATIVA DE TRABALHO";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"309222-GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"309257-UNIODONTO DE JALES - COOPERATIVA ODONTOL�GI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"309524-UNIMED DE MONTE ALTO - COOPERATIVA DE TRABA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"309907-UNIMED PALMAS COOPERATIVA DE TRABALHO M�DIC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"310107-UNIODONTO DE SALVADOR - COOPERATIVA DE TRAB";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"310239-PESSOAL SA�DE PLANOS DE ASSIST�NCIA M�DICA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"310247-CIRCULO OPERARIO CAXIENSE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"310522-PROASA SA�DE";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"310981-ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"311057-UNIMED VALE DO URUCUIA - COOPERATIVA DE TRA";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"311146-UNIMED COSTA VERDE RJ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"311294-UNIMED DE OURINHOS - COOPERATIVA DE TRABALH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"311359-FUNDA��O DE SA�DE ITAIGUAPY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"311375-UNIMED PELOTAS/RS - COOPERATIVA DE ASSIST�N";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"311391-UNIODONTO DE MANAUS - COOPERATIVA ODONTOL�G";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"311472-CEAM BRASIL - PLANOS DE SA�DE LTDA";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"311618-UNIMED MISS�ES/RS - COOPERATIVA DE ASSIST�N";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"311669-UNIODONTO DE AVARE COOPERATIVA ODONTOL�GICA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"311715-UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPER";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"311847-UNIMED REGIONAL DA BAIXA MOGIANA - COOPERAT";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"311944-UNIMED DE ADAMANTINA-COOPERATIVA DE TRABALH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"311961-UNIMED DE MANAUS COOP. DO TRABALHO M�DICO L";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"312126-FUNDA��O SA�DE ITA�";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"312282-INTERMEDICI PIRACICABA ASSISTENCIA MEDICA L";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"312321-ODONTO JARAGU� LTDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"312347-UNIMED AN�POLIS COOPERATIVA DE TRABALHO M�D";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"312363-UNIMED DO EST. DO RJ FEDERA��O EST. DAS COO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"312592-UNIMED NORTE FLUMINENSE COOPERATIVA DE TRAB";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"312720-UNIMED DO ESTADO DO PARAN� FEDERA��O ESTADU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"312851-UNIMED CAMPO GRANDE MS COOPERATIVA DE TRABA";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"312924-CAIXA ECON�MICA FEDERAL";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"313084-COOPERATIVA DE TRABALHO MEDICO DE ARAGUA�NA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"313149-UNIMED DE BATATAIS - COOPERATIVA DE TRABALH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"313211-UNIMED VALE DO CA�/RS - COOPERATIVA DE ASSI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"313475-UNIMED REGIONAL DE PICOS - COOPERATIVA DE T";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"313751-UNIODONTO DE S�O JOS� DOS CAMPOS COOPERATIV";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"313807-UNIODONTO DOURADOS - COOPERATIVA ODONTOL�GI";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"313971-FEDERA��O DAS SOCIEDADES COOPERATIVAS DE TR";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314099-UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TR";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314218-ASSOCIA��O DE BENEFIC�NCIA E FILANTROPIA S�";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"314242-UNIMED DE PIRASSUNUNGA COOPERATIVA DE TRABA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"314251-CAIXA ASSISTENCIAL UNIVERSIT�RIA DO RIO GRA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"314315-UNIODONTO DO BRASIL CENTRAL NACIONAL DAS CO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"314366-DENTAL PLUS CONV�NIO ODONTOL�GICO LTDA.";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"314587-UNIMED VI�OSA - COOPERATIVA DE TRABALHO M�D";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314668-ABERTTA SA�DE - ASSOCIA��O BENEFICENTE DOS";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314706-HOSPITAL CESAR LEITE";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314757-CENTRO ODONTOLOGICO INTEGRADO LTDA";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"314781-UNIMED DE DRACENA - COOPERATIVA DE TRABALHO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"314871-UNIODONTO SUDOESTE GOIANO - COOPERATIVA DE";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"315044-FUNDA��O CELESC DE SEGURIDADE SOCIAL - CELO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"315265-PARANA ASSISTENCIA MEDICA LTDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"315478-FUNDA��O CESP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"315494-UNIMED NOROESTE DE MINAS COOPERATIVA DE TRA";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"315567-FUNDA��O AFFEMG DE ASSIST�NCIA E SA�DE - FU";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"315583-CAIXA DE ASSIST�NCIA DOS EMPREGADOS DO BANE";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"315648-UNIMED CATAGUASES COOPERATIVA DE TRABALHO M";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"315729-UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"315796-UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA D";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"315818-UNIODONTO PONTA GROSSA COOPERATIVA ODONTOL�";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
"316148-UNIMED PO�OS DE CALDAS - SOC. COOP. DE TRAB";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"316458-UNIMED REGIONAL DE FLORIANO - COOPERATIVA D";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
"316849-TELOS - FUNDA��O EMBRATEL DE SEGURIDADE SOC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"316873-CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDAD";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"316881-UNIMED TEOFILO OTONI COOPERATIVA DE TRABALH";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"316903-POLIM�DICA SA�DE SOCIEDADE SIMPLES LTDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"316997-UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"317012-COOPERATIVA DE TRABALHO M�DICO DO PLANALTO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"317144-UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA M";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"317233-FUNDA��O CHESF DE ASSIST�NCIA E SEGURIDADE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"317632-ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"317896-UNIMED VERTENTE DO CAPARA� - COOPERATIVA DE";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"318035-UNIMED GUAXUP� COOPERATIVA DE TRABALHO MEDI";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"318213-COOPERATIVA DE TRABALHO MEDICO REGI�O DO PL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"318299-BENEFICENCIA CAMILIANA DO SUL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"318388-UNIMED DE S�O ROQUE - COOPERATIVA DE TRABAL";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"318477-OPERADORA UNICENTRAL DE PLANOS DE SA�DE LTD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"318566-UNIMED METROPOLITANA DO AGRESTE - COOPERATI";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"319121-UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALH";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"319180-S�O DOMINGOS SA�DE- ASSIST�NCIA M�DICA  LTD";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"319350-UNIODONTO TAUBAT� COOPERATIVA DE TRABALHO O";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"319384-UNIMED PLANALTO M�DIO/RS - COOPERATIVA DE A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"319422-IRMANDADE DA SANTA CASA DE MISERICORDIA DE";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"319708-UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"319872-CAMIM OPERADORA DE PLANO DE SA�DE LTDA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"319996-UNIMED DO ESTADO DE S�O PAULO - FEDERA��O E";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"320251-UNIMED RIO VERDE COOPERATIVA TRABALHO MEDIC";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"320510-AT�VIA SERVI�OS DE SA�DE S/A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
"320706-UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
