NCTId;Sponsor;Place;City/state
NCT01495533;University Hospital, Saarland;Danta Pazzanese Heart Institute;São Paulo
NCT02893852;Federal University of Minas Gerais;Federal University of Minas Gerais;Belo Horizonte
NCT00325676;Takeda;Altana Pharma/Nycomed;Belo Horizonte-MG
NCT00325676;Takeda;Altana Pharma/Nycomed;Blumenau - SC
NCT00325676;Takeda;Altana Pharma/Nycomed;Botucatu - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Campinas - Sao Paulo
NCT00325676;Takeda;Altana Pharma/Nycomed;Campinas - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Curitiba - PR
NCT00325676;Takeda;Altana Pharma/Nycomed;Ilha Do Fundao - Rio de Janeiro - RJ
NCT00325676;Takeda;Altana Pharma/Nycomed;Pinheiros Sao Paulo - SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre - RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre-RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Porto Alegre-RS
NCT00325676;Takeda;Altana Pharma/Nycomed;Ribeirao Preto-SP
NCT00325676;Takeda;Altana Pharma/Nycomed;Salvador-BA
NCT00325676;Takeda;Altana Pharma/Nycomed;São Paulo
NCT05864417;Johnson & Johnson Consumer Inc. (J&JCI);Allergisa Pesquisa Dermato-Cosmética Ltda;Campinas
NCT03190850;Hospital de Clinicas de Porto Alegre;Hospital de Clinicas de Porto Alegre;Porto Alegre
NCT05033145;HRH Pharmaceuticals Limited;Hospital Moacyr Gomes de Azevedo;Cambuci
NCT05033145;HRH Pharmaceuticals Limited;Clinical Research Unit / High Complexity Center (CRU/HCC) / Galzu Institute;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Hospital Santa Casa de Misericórdia de Campos;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Unidade de Pesquisa Clínica / Centro de Alta Complexidade;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Unidade Pré Hospitalar São José;Campos dos Goytacazes
NCT05033145;HRH Pharmaceuticals Limited;Hospital de Itaocara;Itaocara
NCT05033145;HRH Pharmaceuticals Limited;Hospital Armando Vidal;São Fidelis
NCT04161495;Bioverativ, a Sanofi company;Investigational Site Number 181;Campinas
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Emilio Pizzichini;Florianópolis
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Alberto Cukier;São Paulo
NCT02123667;Chiesi Farmaceutici S.p.A.;Prof. Dr. Rafael Stelmach;São Paulo
NCT01410292;Hospital de Clinicas de Porto Alegre;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT05387811;Azienda Ospedaliera di Padova;Hospital Federal de Bonsoccesso;Rio de Janeiro
NCT01137071;Recepta Biopharma;Núcleo de Oncologia da Bahia;Salvador
NCT01137071;Recepta Biopharma;Cetus Hospital-Dia Oncologia Ltda - Filial Belo Horizonte;Belo Horizonte
NCT01137071;Recepta Biopharma;Hospital Erasto Gaertner;Curitiba
NCT01137071;Recepta Biopharma;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT01137071;Recepta Biopharma;Hospital de Câncer de Barretos;Barretos
NCT01137071;Recepta Biopharma;Fundação Amaral Carvalho;Jaú
NCT01137071;Recepta Biopharma;"Instituto do Câncer do Estado de São Paulo ""Octávio Frias de Oliveira""";São Paulo
NCT01137071;Recepta Biopharma;Hospital Israelita Albert Einstein;São Paulo
NCT02592434;Pfizer;SER - Servicos Especializados em Reumatologia;Salvador
NCT02592434;Pfizer;Santa Casa de Misericordia de Belo Horizonte;Belo Horizonte
NCT02592434;Pfizer;Santa Casa de Misericordia de Belo Horizonte;Belo Horizonte
NCT02592434;Pfizer;CMIP -Centro Mineiro de Pesquisa Ltda / Reumatocenter;Juiz de Fora
NCT02592434;Pfizer;Hospital Pequeno Principe / A ssociacao Hospitalar de Protecao a Infancia;Curitiba
NCT02592434;Pfizer;Instituto de Pesquisa Pele Pequeno Principe;Curitiba
NCT02592434;Pfizer;Instituto de Puericultura e Pediatria Martagao Gesteira;Rio de Janeiro
NCT02592434;Pfizer;Faculdade de Medicina da UNESP;Botucatu
NCT02592434;Pfizer;SPDM- Associacao Paulista para o Desenvolvimento da Medicina-Hospital Sao Paulo;São Paulo
NCT02592434;Pfizer;Instituto da Crianca do Hospital das Clinicas da FMUSP;São Paulo
NCT02832544;Population Health Research Institute;Cardresearch - Cardiologia Assistencial e de Pesquisa;Belo Horizonte
NCT02832544;Population Health Research Institute;Nucleo de Estudios Clinicos - Universidade Federal do Triângulo Mineiro;Uberaba
NCT02832544;Population Health Research Institute;Eurolatino Pesquisas Médicas Ltda;Uberlândia
NCT02832544;Population Health Research Institute;Clínica Procardio Ltda.;Blumenau
NCT02832544;Population Health Research Institute;Instituto de Pesquisa Clínica de Campinas;Campinas
NCT02832544;Population Health Research Institute;LOEMA - Instituto de Pesquisa Clínica & Consultores Ltda;Campinas
NCT02832544;Population Health Research Institute;Via Médica Centro Clínico Barroso e Sebba Ltda;Goiânia
NCT02832544;Population Health Research Institute;Instituto de Cardiologia do Rio Grande do Sul;Porto Alegre
NCT02832544;Population Health Research Institute;Fundação Faculdade de Medicina de São José do Rio Preto;São José do Rio Preto
NCT02832544;Population Health Research Institute;Instituto do Coração - HCFMUSP;São Paulo
NCT02832544;Population Health Research Institute;Instituto Dante Pazzanese de Cardiologia;São Paulo
NCT02832544;Population Health Research Institute;Santa Casa de Misericórdia de Votuporanga;Votuporanga
NCT01304732;Grupo de Apoio ao Adolescente e a Crianca com Cancer;Grupo de Apoio ao Adolescente e a Criança com Cancer;São Paulo
NCT04214171;Faculdade de Ciências Médicas da Santa Casa de São Paulo;João Barboza;São Paulo
NCT03771898;Shire;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT03819114;Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections;12101 Instituto de Pesquisa Clinica Evandro Chagas (IPEC) CRS;Rio de Janeiro
NCT02463552;Universidade Federal de Sergipe;Universidade Federal de Sergipe;Aracaju
NCT00841126;Ineos Healthcare Limited;Hospital Universitario da Univ Federal de Juiz de Fora;Juiz de Fora
NCT00841126;Ineos Healthcare Limited;Hospital Universitario Pedro Ernesto;Rio de Janeiro
NCT00841126;Ineos Healthcare Limited;Universidade Federal de Sao Paulo - UNIFESP;São Paulo
NCT00841126;Ineos Healthcare Limited;Faculdade de Ciencias Medicas de Sorocaba - Hosp Santa Lucin;Sorocaba
NCT02255708;University of Sao Paulo;Laboratory of Neuropsychobiology and Motor Behavior,;Ribeirão Preto
NCT03615625;Hospital de Clinicas de Porto Alegre;Hospital de Clinicas de Porto Alegre;Porto Alegre
NCT04028817;University of Nove de Julho;Daysi da Cruz Tobelem;São Paulo
NCT00869817;Washington University School of Medicine;Hospital das Clinicas da Faculdade de Medicina da Universidade de São Paulo;São Paulo
NCT04531202;D'Or Institute for Research and Education;D'Or Institute for Research and Education (IDOR);Rio de Janeiro
NCT06015737;AstraZeneca;Research Site;Belo Horizonte
NCT06015737;AstraZeneca;Research Site;Belo Horizonte
NCT06015737;AstraZeneca;Research Site;Porto Alegre
NCT06015737;AstraZeneca;Research Site;Rio de Janeiro
NCT06015737;AstraZeneca;Research Site;Salvador
NCT06015737;AstraZeneca;Research Site;São Paulo
NCT06988865;Instituto do Cancer do Estado de São Paulo;Instituto do Cancer do Estado de São Paulo;São Paulo
NCT03909165;Merck Sharp & Dohme LLC;Hospital Pequeno Principe ( Site 3826);Curitiba
NCT03909165;Merck Sharp & Dohme LLC;Hospital Tacchini ( Site 3827);Bento Gonçalves
NCT03909165;Merck Sharp & Dohme LLC;Instituto da Crianca do Hospital das Clinicas-FMUSP ( Site 3825);São Paulo
NCT03071692;Kowa Research Institute, Inc.;L2IP - Instituto de Pesquisas Clínicas Ltda.;Brasília
NCT03071692;Kowa Research Institute, Inc.;Hospital do Coração do Brasil;Brasília
NCT03071692;Kowa Research Institute, Inc.;CECAP - Centro de Cardiologia Clínica;Brasília
NCT03071692;Kowa Research Institute, Inc.;Hospital Universitário de Brasília;Brasília
NCT03071692;Kowa Research Institute, Inc.;Clínica de Endocrinologia e Metabologia Ltda.;Brasília
NCT03071692;Kowa Research Institute, Inc.;CARDIOINTERV Centro de Pesquisa S/S;Goiânia
NCT03071692;Kowa Research Institute, Inc.;Via Médica;Goiânia
NCT03071692;Kowa Research Institute, Inc.;HC-UFG - Hospital das Clínicas da Universidade Federal de Goiás;Goiânia
NCT03071692;Kowa Research Institute, Inc.;Hospital Felício Rocho;Belo Horizonte
NCT03071692;Kowa Research Institute, Inc.;CARDRESEARCH - Cardiologia Assistencial;Belo Horizonte
NCT03071692;Kowa Research Institute, Inc.;Sociedade Hospitalar Angelina Caron;Campina Grande do Sul
NCT03071692;Kowa Research Institute, Inc.;Cline Research Center (Leite PS Consultoria Medica LTDA);Curitiba
NCT03071692;Kowa Research Institute, Inc.;Núcleo de Pesquisa Clínica S/S;Curitiba
NCT03071692;Kowa Research Institute, Inc.;Paraná Medical Research Center;Maringá
NCT03071692;Kowa Research Institute, Inc.;HUJBB-UFPA - Hospital Universitário João de Barros Barreto - Universidade Federal do Pará;Belém
NCT03071692;Kowa Research Institute, Inc.;CCBR Brasil Centro de Pesquisas e Análises Clínicas Ltda.;Rio de Janeiro
NCT03071692;Kowa Research Institute, Inc.;Eurolatino Natal Pesquisas Médicas Ltda.;Natal
NCT03071692;Kowa Research Institute, Inc.;Hospital Universitário;Canoas
NCT03071692;Kowa Research Institute, Inc.;Hospital São Vicente de Paulo;Passo Fundo
NCT03071692;Kowa Research Institute, Inc.;Santa Casa de Misericórdia de Pelotas;Pelotas
NCT03071692;Kowa Research Institute, Inc.;Santa Casa de Misericórdia de Porto Alegre;Porto Alegre
NCT03071692;Kowa Research Institute, Inc.;Hospital de Clínicas de Porto Alegre;Porto Alegre
NCT03071692;Kowa Research Institute, Inc.;Centro de Pesquisas em Diabetes Ltda.;Porto Alegre
NCT03071692;Kowa Research Institute, Inc.;Centro de Pesquisa Clínica Maimônides - Maimônides Day Hospital;Porto Alegre
NCT03071692;Kowa Research Institute, Inc.;Centro de Pesquisa Médica Santa Maria Ltda.;Santa Maria
NCT03071692;Kowa Research Institute, Inc.;Maestri e Kormann Consultoria Medico Científica LTDA;Blumenau
NCT03071692;Kowa Research Institute, Inc.;Loema - Instituto de Pesquisa Clínica;Campinas
NCT03071692;Kowa Research Institute, Inc.;IPCC - Instituto de Pesquisa Clínica de Campinas;Campinas
NCT03071692;Kowa Research Institute, Inc.;CEMEC - Centro Multidisciplinar de Estudos Clínicos;São Bernardo do Campo
NCT03071692;Kowa Research Institute, Inc.;Fundação Faculdade Regional de Medicina de São José do Rio Preto;São José do Rio Preto
NCT03071692;Kowa Research Institute, Inc.;ISPEM - Instituto São José dos Campos em Pesquisas Médicas;São José dos Campos
NCT03071692;Kowa Research Institute, Inc.;CPQuali Pesquisa Clínica Ltda.;São Paulo
NCT03071692;Kowa Research Institute, Inc.;CPCLIN - Centro de Pesquisas Clínicas Ltda.;São Paulo
NCT03071692;Kowa Research Institute, Inc.;Clínica Paulista de Doenças Cardiovasculares Ltda.;São Paulo
NCT03071692;Kowa Research Institute, Inc.;Dr. Consulta;São Paulo
NCT03071692;Kowa Research Institute, Inc.;CEPIC - Centro Paulista de Investigação Clínica e Serviços Médicos;São Paulo
NCT03071692;Kowa Research Institute, Inc.;Hospital das Clínicas da Faculdade de Medicina da USP;São Paulo
NCT03071692;Kowa Research Institute, Inc.;Incor - Instituto do Coração - HCFMUSP;São Paulo
NCT03071692;Kowa Research Institute, Inc.;IMC - Instituto de Moléstias Cardiovasculares Tatuí;Tatuí
NCT03071692;Kowa Research Institute, Inc.;Santa Casa de Votuporanga;Votuporanga
NCT05563311;University of Nove de Julho;Luciana Malosa;São Paulo
NCT04524611;AbbVie;Faculdade de Medicina do ABC /ID# 223231;Santo André
NCT04524611;AbbVie;Upeclin Fmb - Unesp /Id# 223234;Botucatu
NCT04524611;AbbVie;Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto /ID# 223233;Ribeirão Preto
NCT04524611;AbbVie;Kaiser Clinica e Hospital Dia /ID# 223232;São José do Rio Preto
NCT05515536;PTC Therapeutics;University of Campinas (UNICAMP) - School of Medical Sciences, Dept of Neurology;São Paulo
NCT01104909;Universidade de Passo Fundo;Darlan Martins Lara;Carazinho
NCT04320472;Ictal Group;Universidade Federal de São Paulo;São Paulo
NCT06282575;Jazz Pharmaceuticals;Liga Norte Riograndense Contra O Cancer;Natal
NCT06282575;Jazz Pharmaceuticals;Hospital de Clinicas de Porto Alegre - HCPA;Porto Alegre
NCT06282575;Jazz Pharmaceuticals;Irmandade Da Santa Casa de Misericordia de Porto Alegre - ISCMPA;Porto Alegrev
NCT06282575;Jazz Pharmaceuticals;Fundação Pio XII Hospital de Amor de Barretos;Barretos
NCT06282575;Jazz Pharmaceuticals;Fundação Doutor Amaral Carvalho - Hospital Amaral Carvalho;Jaú
NCT06282575;Jazz Pharmaceuticals;Fundação Faculdade Regional de Medicina de São José do Rio Preto (FUNFARME);São José do Rio Preto
NCT06282575;Jazz Pharmaceuticals;Hospital Nossa Senhora Da Conceição/Centro Integrado de Pesquisa em Oncologia CIPO-GHC;Porto Alegre
NCT06282575;Jazz Pharmaceuticals;Instituto Nacional de Cancer - INCA;Rio de Janeiro
NCT03061812;AbbVie;Liga Norte Rio Grandense Cont. /ID# 159015;Natal
NCT03061812;AbbVie;Associação Hospital Beneficente São Vicente de Paulo - Hospital São Vicente de P /ID# 159668;Passo Fundo
NCT03061812;AbbVie;Fundacao Pio XII - Hospital de Cancer de Barretos /ID# 159017;Barretos
NCT03061812;AbbVie;Fundacao Faculdade Regional de Medicina de Sao Jose do Rio Preto /ID# 159666;São José do Rio Preto
NCT03061812;AbbVie;Instituto Nacional de Câncer José de Alencar Gomes da Silva (INCA) /ID# 159665;Rio de Janeiro
NCT04198519;Mario Fritsch Neves;Hospital Universitario Pedro Ernesto;Rio de Janeiro
NCT04198519;Mario Fritsch Neves;Rio de Janeiro State University;Rio de Janeiro
NCT06618430;University of Sao Paulo;University of Sao Paulo, School of Physical Education and Sports of Ribeirao Preto;Ribeirão Preto
NCT04011267;University of Sao Paulo General Hospital;Universidade de São Paulo;São Paulo
NCT00159900;Pfizer's Upjohn has merged with Mylan to form Viatris Inc.;Pfizer Investigational Site;Belo Horizonte
NCT00159900;Pfizer's Upjohn has merged with Mylan to form Viatris Inc.;Pfizer Investigational Site;Rio de Janeiro
NCT00159900;Pfizer's Upjohn has merged with Mylan to form Viatris Inc.;Pfizer Investigational Site;Rio Claro
NCT00159900;Pfizer's Upjohn has merged with Mylan to form Viatris Inc.;Pfizer Investigational Site;São Paulo
NCT00159900;Pfizer's Upjohn has merged with Mylan to form Viatris Inc.;Pfizer Investigational Site;São Paulo
NCT06609239;Sanofi;Proar- Site Number : 0760003;Salvador
NCT06609239;Sanofi;HC UFG - Hospital Das Clinicas de Goias- Site Number : 0760007;Goiânia
NCT06609239;Sanofi;Centro de Estudos em Terapias Inovadoras- Site Number : 0760002;Curitiba
NCT06609239;Sanofi;Hospital Dia do Pulmão- Site Number : 0760005;Blumenau
NCT06609239;Sanofi;CCBR / IBPClin - Instituto Brasil de Pesquisa Clínica- Site Number : 0760006;Rio de Janeiro
NCT06679439;University of Sao Paulo General Hospital;University of Sao Paulo General Hospital;São Paulo
NCT02416271;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;Recife
NCT02416271;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;São Paulo
NCT03608839;Universidade Federal de Pernambuco;State University of Campinas;Campinas
NCT02774967;University of Sao Paulo;Gabriel F Bastos;Ribeirão Preto
NCT03813407;AstraZeneca;Research Site;Campinas
NCT03813407;AstraZeneca;Research Site;São Paulo
NCT03813407;AstraZeneca;Research Site;São Paulo
NCT01232634;The Hospital for Sick Children;Universidade de Sao Paulo;São Paulo
NCT01232634;The Hospital for Sick Children;Universidade Estaduale de Campinas;São Paulo
NCT01232634;The Hospital for Sick Children;Universidade Federal de Sao Paulo;São Paulo
NCT02497625;Universidade Cidade de Sao Paulo;Physical Therapy Outpatient Department;São Paulo
NCT00752440;Instituto de Cardiologia do Rio Grande do Sul;Institudo de Cardiologia do Rio Grande do Sul;Porto Alegre
NCT04402060;Apellis Pharmaceuticals, Inc.;Hospital Angelina Caron;Campina Grande do Sul
NCT04402060;Apellis Pharmaceuticals, Inc.;Irmandade da Santa Casa de Misericordia de Porto Alegre;Porto Alegre
NCT04402060;Apellis Pharmaceuticals, Inc.;Hospital São Lucas da PUCRS;Porto Alegre
NCT04402060;Apellis Pharmaceuticals, Inc.;UPECLIN - Unidade de Pesquisa Clínica da Faculdade de Medicina de Botucatu - FMB/UNESP;Botucatu
NCT04402060;Apellis Pharmaceuticals, Inc.;Hospital Estadual Mario Covas;Santo André
NCT04402060;Apellis Pharmaceuticals, Inc.;CEMEC - Centro Multidisciplinar de Estudos Clinicos LTDA EPP;São Bernardo do Campo
NCT04402060;Apellis Pharmaceuticals, Inc.;Hospital Alemao Oswaldo Cruz;São Paulo
NCT04402060;Apellis Pharmaceuticals, Inc.;Hospital Santa Marcelina;São Paulo
NCT03792620;Grupo de Estudos Multicentricos em Onco-Hematologia;CEHON - Centro de Hematologia e Oncologia da Bahia;Salvador
NCT02296424;Novartis Pharmaceuticals;Novartis Investigative Site;Curitiba
NCT02296424;Novartis Pharmaceuticals;Novartis Investigative Site;Rio de Janeiro
NCT02296424;Novartis Pharmaceuticals;Novartis Investigative Site;São Paulo
NCT06827379;Federal University of Paraíba;Universidade Federal da Paraíba;João Pessoa
NCT00959361;Hospital de Clinicas de Porto Alegre;Hospital de Clinicas de Porto Alegre;Porto Alegre
NCT01168973;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;Barretos
NCT01168973;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;Belo Horizonte
NCT01168973;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;Goiânia
NCT01168973;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;Porto Alegre
NCT01168973;Eli Lilly and Company;For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician.;São Paulo
NCT04192994;Federal University of São Paulo;Dept of Ophthalmology - UNIFESP/Hospital São Paulo;São Paulo
NCT07132853;University of Sao Paulo;Heart Institute;São Paulo
NCT00086372;National Institute of Allergy and Infectious Diseases (NIAID);Centro de Referencia Estadual de AIDS (CREAIDS);Salvador
NCT05336357;University of Sao Paulo;Instituto do Coração;São Paulo
NCT00989365;University of Sao Paulo General Hospital;Clinical Hospital, School of Medicine, University of São Paulo;São Paulo
NCT06252467;Marco Aurélio Vaz, PhD;Marco Aurélio Vaz;Porto Alegre
NCT05651711;Amgen;CETI - Centro de Estudo em Terapias Inovadoras;Curitiba
NCT05651711;Amgen;Centro Multidisciplinar de Estudos Clinicos - CEMEC;São Bernardo do Campo
NCT05651711;Amgen;ISPEM - Instituto São José dos Campos em Pesquisas Médicas;São José dos Campos
NCT01747395;University of Sao Paulo General Hospital;Instituto do Coração - HC/FMUSP;São Paulo
NCT01547377;Universidade Federal do Rio Grande do Norte;Onofre Lopes University Hospital;Natal
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Centro de Pesquisa Clínica - CPEC / Associação Obras Sociais Irmã Dulce;Salvador
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Centro de Pesquisa Clínica do IMIP;Recife
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Allergisa Pesquisa Dermato Cosmética Ltda.;Campinas
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Scentryphar Pesquisa Clínica;Campinas
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Sociedade Campineira de Educação e Instrução - Centro de Pesquisa Clínica São Lucas - PUCCAMP;Campinas
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Centro de Estudos Multidisciplinar CEPES da Faculdade de Medicina do ABC;Santo André
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Centro Integrado de Pesquisa - CIP;São José do Rio Preto
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;CDEC Brasil - Centro de Desenvolvimento em Estudo Clínicos Brasil / AFIP-Associação Fundo de Incentivo à pesquisa);São Paulo
NCT02582177;Ache Laboratorios Farmaceuticos S.A.;Centro de Pesquisa Clínica - HSM (Hospital Santa Marcelina);São Paulo
NCT00910377;Hospital de Clinicas de Porto Alegre;Hospital de Clinicas de Porto Alegre;Porto Alegre
NCT05719857;Universidade Federal do Rio de Janeiro;Hospital Universitário Clementino Fraga Filho / Universidade Federal do Rio de Janeiro (UFRJ);Rio de Janeiro
NCT01252407;Federal University of Health Science of Porto Alegre;Rodrigo Della Méa Plentz;Porto Alegre
NCT01886430;University of Sao Paulo General Hospital;Instituto do Coração - HC/FMUSP;São Paulo
NCT02489565;Hospital de Clinicas de Porto Alegre;Instituto de Avaliação de Tecnologia em Saúde (Institute of Technology Assessment in Health);Porto Alegre
NCT01546207;Vivek Reddy;Hospital Regional Sao Jose;Santa Catarina
NCT01240044;University of the State of Santa Catarina;Maternidade Carmela Dutra Hospital;Florianópolis
NCT03039244;University of Sao Paulo;Mariana Sales;Ribeirão Preto
NCT05886387;Instituto de Investigacion Sanitaria La Fe;Hospital Israelita Albert Einstein;São Paulo
NCT02073721;Universidade Gama Filho;Federal Hospital Servants of the State of Rio de Janeiro;Rio de Janeiro
NCT03914326;Novo Nordisk A/S;Hospital do Coração do Brasil;Brasília
NCT03914326;Novo Nordisk A/S;Cline Research Center;Curitiba
NCT03914326;Novo Nordisk A/S;Quanta Diagnóstico Nuclear / Medicina Nuclear Alto da XV;Curitiba
NCT03914326;Novo Nordisk A/S;Hospital São Vicente de Paulo;Passo Fundo
NCT03914326;Novo Nordisk A/S;Instituto de Pesquisa Clínica de Campinas;Campinas
NCT03914326;Novo Nordisk A/S;i9 Pesquisas Clínicas;Campinas
NCT03914326;Novo Nordisk A/S;Instituto de Pesquisa Clinica (IPEC);São Paulo
NCT03914326;Novo Nordisk A/S;CPQuali Pesquisa Clínica Ltda;São Paulo
NCT03914326;Novo Nordisk A/S;CPCLIN - Centro de Pesquisas Clínicas;São Paulo
NCT04545840;Neodent;Instituto Latino Americano de Pesquisa e Ensino Odontológico (ILAPEO);Curitiba
NCT01246089;Instituto de Olhos de Goiania;Instituto de Olhos de Goiania;Goiânia
NCT05052307;Hospital Moinhos de Vento;Pronto Atendimento Municipal de Toledo;Toledo
NCT05052307;Hospital Moinhos de Vento;Unidade Básica de Saúde Jardim Cosmos;Toledo
NCT05052307;Hospital Moinhos de Vento;Unidade de Pronto Atendimento Pediátrico Dr. José Ivo Alves da Rocha;Toledo
NCT00843232;University of Campinas, Brazil;LIMED (Laboratory of Investigation of Metabolism and Diabetes)/GASTROCENTRO/Univeristy of Campinas (UNICAMP);Campinas
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Vitória
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Salvador
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Brasília
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Belo Horizonte
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Curitiba
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Niterói
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Rio de Janeiro
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Natal
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Barretos
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;São Paulo
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;São Paulo
NCT05639114;Novartis Pharmaceuticals;Novartis Investigative Site;Salvador
NCT05949684;Bristol-Myers Squibb;Hospital Universitario Walter Cantidio;Fortaleza
NCT05949684;Bristol-Myers Squibb;Hospital São Lucas da PUCRS;Porto Alegre
NCT05949684;Bristol-Myers Squibb;HEMORIO;Rio de Janeiro
NCT05949684;Bristol-Myers Squibb;Hospital das Clinicas FMUSP;São Paulo
NCT03532984;University Medical Center Groningen;School of Physical Education and Sport of Ribeirão Preto;São Paulo
NCT00358943;Genzyme, a Sanofi Company;Hospital das Clínicas da Universidade Federal do Paraná - HCUFPR- Site Number : 076010;Curitiba
NCT00358943;Genzyme, a Sanofi Company;Hospital de Clinicas de Porto Alegre- Site Number : 076007;Porto Alegre
NCT00358943;Genzyme, a Sanofi Company;Hospital e Maternidade Celso Pierro - PUC-Campinas- Site Number : 076012;Campinas
NCT00358943;Genzyme, a Sanofi Company;Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto- Site Number : 076001;Ribeirão Preto
NCT00358943;Genzyme, a Sanofi Company;Faculdade De Medicina - Unicamp- Site Number : 076005;Campinas
NCT00358943;Genzyme, a Sanofi Company;HEMORIO- Site Number : 076006;Rio de Janeiro
NCT00358943;Genzyme, a Sanofi Company;Instituto de Genética e Erros Inatos do Metabolismo- Site Number : 076002;São Paulo
NCT00358943;Genzyme, a Sanofi Company;Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo- Site Number : 076008;São Paulo
NCT02128633;Universidade Federal de Santa Maria;Fabricio Batistin Zanatta;Santa Maria
NCT04942158;University of Sao Paulo;Iguaçu University;Itaperuna
NCT04942158;University of Sao Paulo;Rio de Janeiro State University;Rio de Janeiro
NCT04942158;University of Sao Paulo;Santa Catarina Federal University;Florianópolis
NCT04942158;University of Sao Paulo;School of Dentistry, University of Sao Paulo;São Paulo
NCT02926885;Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara;Nucleo de Pesquisa e Desenvolvimento da Universidade Federal do Ceara;Fortaleza
NCT01912885;University of Sao Paulo General Hospital;Gynecology Ambulatory of the General Hospital of the Faculty of Medicine of the University of Sao Paulo;São Paulo
NCT01338025;International Maternal Pediatric Adolescent AIDS Clinical Trials Group;Hospital Geral De Nova Igaucu Brazil NICHD CRS (5097);Rio de Janeiro
NCT01338025;International Maternal Pediatric Adolescent AIDS Clinical Trials Group;Insituto de Infectologia Emilio Ribas NICHD CRS (5075);São Paulo
NCT01338025;International Maternal Pediatric Adolescent AIDS Clinical Trials Group;Univ of Sao Paulo Brazil NICHD CRS (5074);São Paulo
NCT01546974;Hospital Sao Domingos;Hospital Sao Domingos;São Luís
NCT02441374;University of Sao Paulo;Tamyris Padovani dos Santos;Ribeirão Preto
NCT00696436;Takeda;;Belo Horizonte
